AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
481670616,"0616, 1616 ",HOUSTON,12,Texas City BP Onsite (Site 2),Texas City Bp Property Onsite,Texas City,,29.36886,-94.91544,0m,15,R,305179,3209635,16,23-Mar-10,Active,British Petroleum
481670621,"0621, 1621 ",HOUSTON,12,Texas City BP Logan Street (Site 3),303 Logan Street,Texas City,,29.380981,-94.93022,,15,R,305179,3209635,16,7-Apr-10,Active,British Petroleum
481670683,683,HOUSTON,12,Texas City 11th Street,569 11th Street South,Texas City,77590,29.3787,-94.91019,0m,15,R,305179,3209635,9,1-Jan-10,Active,Marathon Petroleum Co.
481670697,697,HOUSTON,12,UH Coastal Center,Jack Brooks Road,La Marque,77568,29.3879,-95.0414,5.0m,15,R,305179,3209635,11,31-Mar-10,Active,University of Houston
481671034,1034,HOUSTON,12,Galveston 99th Street,9511 Avenue V 1/2,Galveston,77554,29.2544736,-94.8612886,5.0m,15,R,305179,3209635,14,20-Mar-07,Active,TCEQ
481675005,5005,HOUSTON,12,Galveston Airport KGLS,Galveston Scholes International Airport,Galveston,,29.270278,-94.864167,0m,15,R,305179,3209635,13,22-Jan-03,Active,National Weather Service
481750624,624,CORPUS CHRISTI,14,Coleto,Coleto,Coleto,,28.720926,-97.220882,,14,R,694821,3209635,7,10-Jul-10,Active,City of Victoria
481830001,"0019, 0127, 0644 ",TYLER,5,Longview,Gregg Co Airport near Longview,Longview,,32.3786823,-94.7118107,,15,S,311072,3542183,97,1-Jan-77,Active,TCEQ
481870504,504,SAN ANTONIO,13,New Braunfels Airport,2090 Airport Rd,New Braunfels,,29.7041667,-98.0288889,195.0m,14,R,596450,3319206,1,30-Aug-02,Active,Alamo Area Council of Governments
481870506,506,SAN ANTONIO,13,Seguin Outdoor Learning Center,1865 Hwy 90 East,Seguin,,29.588611,-97.932222,146.0m,14,R,596450,3319206,1,26-Mar-03,Active,Alamo Area Council of Governments
481875004,5004,SAN ANTONIO,13,New Braunfels Airport KBAZ,New Braunfels Municipal Airport,New Braunfels,,29.7086111,-98.0452778,195.0m,14,R,596450,3319206,13,22-Jan-03,Active,National Weather Service
482010024,"0008, 0108, 0150 ",HOUSTON,12,Houston Aldine,4510 1/2 Aldine Mail Rd,Houston,,29.9010364,-95.3261373,,15,R,307085,3320469,92,1-Jan-74,Active,TCEQ
482010026,"0015, 0115 ",HOUSTON,12,Channelview,1405 Sheldon Road,Channelview,,29.8027073,-95.1254948,,15,R,307085,3320469,58,1-Jan-80,Active,TCEQ
482010029,"0026, 0110, 0154 ",HOUSTON,12,Northwest Harris County,16822 Kitzman,Tomball,,30.039524,-95.6739508,,15,R,210590,3322576,13,1-Jan-81,Active,TCEQ
482010036,1036,HOUSTON,12,Jacinto Port,Corner of First & Elsbeth Streets,Channelview,,29.7761,-95.1051,,15,R,307085,3320469,90,19-Jul-06,Active,TCEQ
482010046,405,HOUSTON,12,Houston North Wayside,7330 1/2 North Wayside,Houston,,29.8280859,-95.2840958,,15,R,307085,3320469,2,1-Jan-76,Active,City of Houston Health Department
482010047,408,HOUSTON,12,Lang,4401 1/2 Lang Rd,Houston,,29.834167,-95.489167,24.0m,15,R,307085,3320469,6,1-Jan-78,Active,City of Houston Health Department
482010051,409,HOUSTON,12,Houston Croquet,13826 1/2 Croquet,Houston,,29.623889,-95.474167,18.0m,15,R,307085,3320469,8,1-Jan-78,Active,City of Houston Health Department
482010055,"0053, 0146, 0181 ",HOUSTON,12,Houston Bayland Park,6400 Bissonnet Street,Houston,,29.6957294,-95.499219,,15,R,307085,3320469,95,24-Mar-98,Active,TCEQ
482010057,"0167, 1667 ",HOUSTON,12,Galena Park,304 Stewart Street,Galena Park,,29.7342622,-95.2381564,,15,R,307085,3320469,90,21-Oct-97,Active,TCEQ
482010058,148,HOUSTON,12,Baytown,7210 1/2 Bayway Drive,Baytown,,29.7706975,-95.0312316,,15,R,307085,3320469,98,25-Mar-98,Active,TCEQ
482010060,404,HOUSTON,12,Houston Kirkpatrick,5565 Kirkpatrick,Houston,,29.8074146,-95.2936223,,15,R,307085,3320469,6,10-Feb-00,Active,City of Houston Health Department
482010061,145,HOUSTON,12,Shore Acres,3903 1/2 Old Highway 146,La Porte,,29.6150008,-95.0181324,0m,15,R,307085,3320469,90,28-May-98,Active,TCEQ
482010062,406,HOUSTON,12,Houston Monroe,9726 1/2 Monroe,Houston,,29.625556,-95.267222,12.0m,15,R,307085,3320469,4,1-Jan-84,Active,City of Houston Health Department
482010066,410,HOUSTON,12,Houston Westhollow,3333 1/2 Hwy 6 South,Houston,,29.723333,-95.635833,24.0m,15,R,210590,3322576,8,1-Jul-94,Active,City of Houston Health Department
482010069,169,HOUSTON,12,Milby Park,2201A Central St,Houston,,29.7062492,-95.2611301,,15,R,307085,3320469,54,7-Apr-99,Active,TCEQ
482010071,,HOUSTON,12,Pasadena HL&P,1001 1/2 Red Bluff,Pasadena,,29.7164829,-95.2013298,7.6m,15,R,307085,3320469,1,17-Jul-00,Active,TCEQ
482010075,411,HOUSTON,12,Houston Texas Avenue,2311 Texas Ave,Houston,,29.752778,-95.350278,12.0m,15,R,307085,3320469,4,30-Mar-01,Active,City of Houston Health Department
482010307,1029,HOUSTON,12,Manchester/Central,9401 1/2 Manchester Street,Houston,77012,29.718799,-95.2599093,,15,R,307085,3320469,91,9-May-05,Active,TCEQ
482010416,416,HOUSTON,12,Park Place,7421 Park Place Blvd,Houston,,29.686389,-95.294722,10.0m,15,R,307085,3320469,19,22-Feb-06,Active,City of Houston Health Department
